	 about	 city	 country	 category	 description	 cluster	 user_id
153	fashion	Edison	United States	Insurance Agent	fashion	2	923361624404390
154	fashion	Gurgaon	India	Teacher	fashion	2	921056591320908
155	design	Barcelona	Spain	Tour Agency	design	1	919590834759235
156	fashion	Mumbai	India	Information Technology Company	fashion	2	917496984930114
157	design	Misérieux	Italy	Product/Service	accessories	1	917033075038910
158	fashion	Gurgaon	Greece	Public Figure	accessories	3	915535158552669
159	food	Milan	Italy	Pizza Place	food	1	904838889630600
160	fashion	DÃ¼sseldorf	Turkey	Personal Blog	fashion	2	902872839740900
161	accessories	Vilaseca	Spain	Amusement & Theme Park	fashion	0	89629769393
162	food	Barcelona	Italy	Community	fashion	0	895127570541562
163	luxury	Florence	Poland	Bags/Luggage	accessories	1	886125864816164
164	hair	Milan	France	Jewelry/Watches	fashion	0	885566734920914
165	design	Jersey City	United States	Cars	design	1	885345894841212
166	fashion	Milan	Italy	Ice Cream Shop	fashion	2	881449208620998
167	fashion	æ¸¯åº	Poland	Media/News Company	fashion	2	878588495490659
168	fashion	Athens	Greece	Travel Agency	design	3	874476452564117
169	fashion	Milan	India	Media/News Company	fashion	2	871504516318327
170	design	Don Torcuato	Argentina	Cargo & Freight Company	car	1	866114053477850
171	accessories	Dhaka	Canada	Education	blog	1	865570073541866
172	blog	Charlotte	United States	Arts & Entertainment	fashion	0	856037094480022
173	fashion	Warsaw	Italy	Clothing (Brand)	fashion	2	853307471383236
174	beauty	Paris	Greece	Community	fashion	0	852797218176268
175	fashion	Milan	Poland	Community	accessories	3	850664818287032
176	design	Parabiago	Portugal	Community	fashion	0	846230225409616
177	fashion	Porto	Germany	Health/Beauty	fashion	2	845602352251453
178	fashion	Milan	Italy	Foodservice Distributor	design	3	841752319207450
179	luxury	Bologna	Russia	Shopping Service	design	1	826137784073586
180	blog	Paris	Hong Kong	Product/Service	fashion	0	824936697597337
181	accessories	Milan	Italy	Photographer	fashion	0	820934871320087
182	fashion	Bandar Baru Enstek	Brazil	Personal Website	fashion	2	817235791647711
183	car	Madrid	Hong Kong	Bags/Luggage	fashion	0	815332461925674
184	fashion	Vancouver	Canada	Health/Beauty	design	3	807871702618661
185	fashion	Moscow	Poland	Magazine	fashion	2	800107456798854
186	fashion	Bandar Baru Enstek	Italy	Just For Fun	fashion	2	795674433783206
187	accessories	Milan	Italy	Clothing (Brand)	fashion	0	788339501289207
188	car	Lisbon	Italy	Cars	fashion	0	783076671800695
189	fashion	Bursa	Portugal	Motor Vehicle Company	accessories	3	779772735392121
190	hair	Correggio	Italy	Hair Salon	beauty	1	779431602141572
191	fashion	Katowice	Poland	Baby Goods/Kids Goods	accessories	3	771864629529667
192	car	Shanghai	Italy	Photographer	hair	1	754107068022906
193	hair	Cagliari	Portugal	Just For Fun	hair	1	751703741607567
194	design	Moscow	Russia	Artist	accessories	1	749091128554167
195	fashion	DÃ¼sseldorf	Italy	Community	design	3	744734129033383
196	accessories	Miami	Italy	Community	fashion	0	740900452645497
197	food	Mato Grosso	United States	Community	fashion	0	736676909843356
198	design	Dalkey	United States	Motor Vehicle Company	fashion	0	733037150070556
199	food	Torino, Italy	Greece	CrÃªperie	design	1	72928191327
200	fashion	Minsk Mazowiecki	United States	Community	fashion	2	727925890616978
201	car	Mato Grosso	Poland	Motor Vehicle Company	fashion	0	727284553966472
202	fashion	Florence	Italy	Personal Blog	hair	3	726988864031194
203	hair	Milan	Italy	Entertainment Website	fashion	0	726852837408364
204	food	Nice	France	Health/Beauty	fashion	0	726844857409257
205	food	Paris	France	Fashion Designer	food	1	726709567354068
206	accessories	Cagliari	Italy	Event Videographer	fashion	0	725598617559056
207	fashion	Guadalajara	Mexico	Radio Station	fashion	2	725451997549633
208	design	Hong Kong	Hong Kong	Event Planner	accessories	1	722192404489070
209	food	Nabeul	Argentina	Book	fashion	0	713390568768670
210	accessories	Guadalajara	Serbia	Personal Blog	fashion	0	709985892395310
211	fashion	Dhaka	Bangladesh	Motor Vehicle Company	fashion	2	707090449402973
212	food	 Hong Kong	Poland	Public Figure	fashion	0	703634066377848
213	fashion	Paris	Italy	Just For Fun	food	3	699792033388534
214	beauty	Naples	Italy	Community	fashion	0	698512440292379
215	fashion	Bologna	Italy	Consulting Agency	fashion	2	697576777041364
216	fashion	Florence	Poland	Magazine	fashion	2	694474257269676
217	fashion	Warsaw	Poland	Personal Blog	fashion	2	685412288157277
218	car	Bologna	Spain	Cars	design	1	678276722330709
219	design	Karachi	Spain	Website	fashion	0	673312202813678
220	accessories	Naples	Italy	Phone/Tablet	accessories	1	673120242879779
221	beauty	Islamabad	Pakistan	Health/Beauty	beauty	1	671748456313289
222	fashion	xxxxxx	France	Community	fashion	2	667726019920395
223	accessories	Turin	Italy	Specialty Grocery Store	fashion	0	667185943422552
224	fashion	Karachi	Italy	Organization	car	3	663344900486068
225	design	Highton	Australia	Education	design	1	660968737359239
226	accessories	Parma	Italy	Clothing (Brand)	accessories	1	650625358295516
227	accessories	Poznan	France	Website	design	1	650168275135542
228	fashion	Bologna	United States	Magazine	accessories	3	647540921992433
229	design	Woodland Hills	United States	Car Dealership	fashion	0	644852592250620
230	food	Paris	France	Public Figure	fashion	0	644822239000704
231	fashion	Miami	Hungary	Community	fashion	2	642942629215685
232	accessories	Minsk Mazowiecki	France	Community	fashion	0	639982999436291
233	design	Merate	Italy	Sewing & Alterations	fashion	0	632578743526459
234	blog	Milan	Italy	Community	blog	1	626842630662750
235	accessories	Belgrade	Serbia	Clothing (Brand)	fashion	0	624778847655319
236	fashion	Porto	United States	Clothing (Brand)	fashion	2	619841054749535
237	fashion	 Hong Kong	Argentina	Community	blog	3	619590514888922
238	fashion	Douala	Pakistan	Magazine	fashion	2	617863478334707
239	accessories	Rome	Italy	Home Decor	fashion	0	615486891839073
240	accessories	Paris	France	Taxi Service	accessories	1	614795188707202
241	car	Miami	United States	Exotic Car Rental	car	1	612010375585032
242	accessories	RzeszÃ³w	Italy	Bags/Luggage	car	1	597686660247228
243	accessories	Cagliari	United States	Internet Marketing Service	accessories	1	596395030502182
244	fashion	London	United Kingdom	Clothing (Brand)	fashion	2	596373037071851
245	design	Milan	Italy	Media/News Company	accessories	1	594395610638744
246	hair	Rome	Poland	Public Figure	car	1	591059764295064
247	fashion	Islamabad	Italy	Personal Blog	design	3	588623057912574
248	fashion	Woodland Hills	France	Community	fashion	2	559104300856645
249	fashion	Nabeul	United States	Community	design	3	556830117742295
250	food	Turin	Italy	Shopping & Retail	food	1	556196317807343
251	design	Budapest	Hungary	Professional Service	accessories	1	554745441325298
252	design	Orlando	United States	Neighborhood	design	1	554683331284773
253	fashion	RzeszÃ³w	Italy	Health/Beauty	blog	3	553986411321371
254	fashion	Douala	Cameroon	Public Figure	accessories	3	550140365144062
255	food	 Hong Kong	Argentina	Food & Beverage Company	fashion	0	550006658423855
256	accessories	Buenos Aires	Argentina	Makeup Artist	fashion	0	549021285120088
257	fashion	Des Plaines	India	Clothing (Brand)	blog	3	478436562334823
258	food	Aalsmeer	Netherlands	Florist	fashion	0	476830822340249
259	fashion	Dalkey	Italy	App Page	fashion	2	420388228116225
260	fashion	Karachi	Portugal	Community	fashion	2	958109914325588
261	fashion	Vancouver	Greece	Community	fashion	2	967698446618915
262	car	GlyfÃ¡das	Argentina	Community	fashion	0	949893331756900
263	design	Mato Grosso	Poland	Video	accessories	1	915570628556897
264	fashion	Milan	Argentina	Just For Fun	fashion	2	842154152464247
265	fashion	Milan	United States	Jewelry/Watches	beauty	3	794153797378210
266	accessories	GlyfÃ¡das	United States	Kitchen/Cooking	accessories	1	699001296832249
267	blog	Nice	Italy	Artist	design	1	693489954115796
268	beauty	Highton	Italy	Bags/Luggage	fashion	0	660373514005969
269	design	Misérieux	Brazil	Community	design	1	655962317827911
270	fashion	Paris	France	Advertising/Marketing	fashion	2	643503605792479
271	design	Saluzzo	Italy	Health/Beauty	fashion	0	632250416887628
272	blog	Parma	Australia	Blogger	design	1	630762207041221
273	design	Prato	Italy	Business Service	design	1	630245553790201
274	luxury	Moscow	Russia	Retail Company	accessories	1	623691814457872
275	food	Bologna	Italy	Cosmetics Store	accessories	1	609458615739720
276	fashion	Hong Kong	Hong Kong	Shopping & Retail	fashion	2	605703276192791
277	fashion	 Hong Kong	Portugal	Religious Organization	accessories	3	583981501662805
278	fashion	RzeszÃ³w	India	News & Media Website	fashion	2	576730179007857
279	accessories	Poznan	Italy	Franchising Service	fashion	0	559446304107826
280	accessories	Paris	United States	Public Figure	accessories	1	558424587590879
281	fashion	Mumbai	Poland	Community	fashion	2	557891877617457
282	fashion	xxxxxx	Canada	Clothing (Brand)	fashion	2	55092700895
283	fashion	North Miami	United States	Women's Clothing Store	accessories	3	476836962402318
284	design	DÃ¼sseldorf	Germany	College & University	accessories	1	111573248893009
285	food	Paris	Portugal	Blogger	food	1	1114201225311341
286	car	 Hong Kong	Italy	Athlete	car	1	110997035729481
287	fashion	Woodland Hills	United States	App Page	fashion	2	1102746296499267
288	fashion	Merate	Germany	Health/Beauty	fashion	2	109921562664
289	design	GlyfÃ¡das	Greece	Event	fashion	0	109282949147794
290	fashion	Lisbon	Portugal	Clothing (Brand)	fashion	2	108486934793
291	accessories	Milan	Brazil	Fashion	design	1	108259206058
